category,name,carbon,water,waste,alternatives
Clothing,Cotton T-shirt,83.33,1248,578,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Home Goods,Lamp,45.28,3207,569,Eco Lamp;Sustainable Lamp;Recycled Lamp
Groceries,Detergent,43.21,2199,545,Eco Detergent;Sustainable Detergent;Recycled Detergent
Food,Rice (1kg),28.3,775,560,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Groceries,Shampoo,7.87,2556,620,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Groceries,Detergent,72.02,1587,995,Eco Detergent;Sustainable Detergent;Recycled Detergent
Clothing,Jeans,54.95,2953,742,Eco Jeans;Sustainable Jeans;Recycled Jeans
Groceries,Shampoo,33.53,2118,226,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Food,Rice (1kg),28.58,2852,877,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Food,Milk (1L),24.8,3856,638,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Clothing,Sweater,40.74,3115,133,Eco Sweater;Sustainable Sweater;Recycled Sweater
Food,Eggs (12pcs),19.91,2889,918,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Groceries,Detergent,16.67,2805,658,Eco Detergent;Sustainable Detergent;Recycled Detergent
Electronics,Tablet,30.06,4233,853,Eco Tablet;Sustainable Tablet;Recycled Tablet
Home Goods,Mattress,33.28,3808,931,Eco Mattress;Sustainable Mattress;Recycled Mattress
Clothing,Sweater,59.44,3577,190,Eco Sweater;Sustainable Sweater;Recycled Sweater
Clothing,Jeans,86.48,2880,751,Eco Jeans;Sustainable Jeans;Recycled Jeans
Clothing,Cotton T-shirt,59.06,1115,65,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Electronics,Headphones,76.61,4375,962,Eco Headphones;Sustainable Headphones;Recycled Headphones
Food,Beef (1kg),50.67,4115,424,Eco Beef (1kg);Sustainable Beef (1kg);Recycled Beef (1kg)
Food,Rice (1kg),33.19,4015,17,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Food,Eggs (12pcs),22.01,4160,341,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Electronics,Headphones,70.4,4374,150,Eco Headphones;Sustainable Headphones;Recycled Headphones
Home Goods,Lamp,98.51,902,291,Eco Lamp;Sustainable Lamp;Recycled Lamp
Groceries,Shampoo,19.85,3779,881,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Electronics,Smartphone,83.92,1680,701,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Electronics,Laptop,67.89,1428,308,Eco Laptop;Sustainable Laptop;Recycled Laptop
Electronics,Smartphone,59.41,4656,491,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Food,Eggs (12pcs),63.17,4217,326,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Clothing,Socks,14.86,2112,751,Eco Socks;Sustainable Socks;Recycled Socks
